,0,1,2,3,4
0,0.4674,0.4601,0.4409,0.4305,0.4256
1,0.5325,0.5339,0.5206,0.5087,0.5006
2,0.55,0.5395,0.5263,0.5219,0.5144
3,0.5849,0.5801,0.5605,0.5527,0.5459
4,0.6074,0.5976,0.5784,0.57,0.5645
5,0.6279,0.6158,0.5865,0.5763,0.5662
6,0.6267,0.6125,0.5889,0.58,0.5744
7,0.6414,0.6248,0.6049,0.5956,0.5875
8,0.649,0.6372,0.6112,0.6012,0.5944
9,0.6482,0.6321,0.6134,0.6007,0.5944
10,0.6661,0.6561,0.6276,0.6135,0.604
11,0.6623,0.654,0.6255,0.6073,0.5985
12,0.6738,0.6582,0.6322,0.6193,0.6093
13,0.6705,0.6565,0.6287,0.6145,0.6073
14,0.6764,0.6619,0.6353,0.6251,0.6204
15,0.6793,0.6711,0.6405,0.6253,0.6153
16,0.6828,0.6688,0.6433,0.6308,0.6236
17,0.6872,0.6726,0.649,0.6359,0.6272
18,0.6893,0.6785,0.6466,0.6322,0.6272
19,0.6732,0.6701,0.6465,0.6289,0.6199
