,0,1,2,3,4
0,0.5399,0.44,0.3128,0.2958,0.2873
1,0.5313,0.439,0.3008,0.2862,0.2791
2,0.6346,0.449,0.3038,0.292,0.2873
3,0.6444,0.4384,0.2813,0.269,0.2641
4,0.6593,0.3995,0.2656,0.2525,0.2463
5,0.6835,0.4545,0.305,0.2895,0.2872
6,0.6915,0.4036,0.2832,0.2711,0.2665
7,0.6973,0.4076,0.2857,0.2723,0.2685
8,0.7065,0.4119,0.2708,0.2562,0.2538
9,0.7099,0.4299,0.2694,0.2558,0.2507
10,0.7188,0.4082,0.2736,0.2609,0.2587
11,0.7217,0.4416,0.2672,0.252,0.2491
12,0.7272,0.4437,0.2905,0.2772,0.2748
13,0.7343,0.4823,0.2953,0.2799,0.2771
14,0.7241,0.4508,0.289,0.2758,0.2731
15,0.7412,0.4325,0.2773,0.2663,0.2639
16,0.7458,0.4582,0.2917,0.2763,0.2737
17,0.7446,0.4742,0.2905,0.2759,0.2729
18,0.7443,0.4557,0.2923,0.2769,0.2761
19,0.7499,0.4511,0.2864,0.2694,0.2671
