,0,1,2,3,4
0,0.4597,0.4199,0.3672,0.351,0.3405
1,0.5124,0.4893,0.4486,0.4337,0.427
2,0.4858,0.4258,0.3556,0.3376,0.3281
3,0.5697,0.5488,0.4953,0.4716,0.4607
4,0.511,0.4519,0.3676,0.3427,0.3302
5,0.5363,0.4652,0.3808,0.3584,0.347
6,0.582,0.55,0.4769,0.4489,0.4323
7,0.5923,0.5421,0.4468,0.4181,0.4026
8,0.6151,0.5559,0.4614,0.4308,0.4143
9,0.6174,0.5635,0.4653,0.4338,0.4189
10,0.6075,0.588,0.5188,0.4896,0.4713
11,0.62,0.5578,0.4544,0.4233,0.4066
12,0.6223,0.5636,0.4713,0.437,0.4202
13,0.6098,0.5612,0.4706,0.4366,0.4204
14,0.6374,0.5954,0.5132,0.4806,0.4603
15,0.6403,0.5942,0.4983,0.4653,0.4472
16,0.6041,0.5722,0.4858,0.4537,0.4345
17,0.639,0.5922,0.4876,0.4551,0.4391
18,0.6296,0.5913,0.4976,0.4652,0.4455
19,0.6469,0.5901,0.4808,0.4429,0.4261
