,0,1,2,3,4
0,0.4773,0.4693,0.4509,0.4435,0.4375
1,0.5062,0.5079,0.5083,0.5054,0.5039
2,0.5547,0.5414,0.5111,0.4992,0.4927
3,0.56,0.5542,0.5371,0.527,0.5206
4,0.5423,0.5399,0.5438,0.539,0.5369
5,0.5881,0.5824,0.5681,0.5601,0.5521
6,0.5705,0.5655,0.5479,0.5382,0.5322
7,0.5952,0.5885,0.5716,0.5652,0.5578
8,0.5944,0.5872,0.5624,0.55,0.5422
9,0.603,0.593,0.5813,0.572,0.5671
10,0.6148,0.6073,0.584,0.5699,0.5596
11,0.6119,0.6031,0.5848,0.5736,0.5663
12,0.6158,0.6092,0.5901,0.5827,0.5766
13,0.6096,0.6036,0.5929,0.5888,0.5834
14,0.6236,0.6157,0.6057,0.5968,0.5899
15,0.6138,0.608,0.5916,0.5811,0.5724
16,0.63,0.6225,0.6019,0.59,0.5798
17,0.6286,0.6241,0.6076,0.598,0.591
18,0.6303,0.625,0.6129,0.6065,0.6019
19,0.6414,0.6297,0.6154,0.6084,0.6023
