,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0974,0.4854,0.7331,0.8051,0.828,0.8382,0.8388,0.8406,0.8408,0.8407,0.8403,0.84,0.8392
1,0.0974,0.4088,0.6903,0.7988,0.847,0.8635,0.87,0.8692,0.8698,0.8702,0.8701,0.8709,0.8714
2,0.0974,0.4166,0.7604,0.8415,0.8713,0.8825,0.8832,0.8822,0.8821,0.8821,0.8824,0.882,0.8819
3,0.0974,0.3911,0.7478,0.836,0.8698,0.884,0.8888,0.888,0.8879,0.888,0.8881,0.8882,0.8876
4,0.0974,0.494,0.7371,0.8388,0.8763,0.8881,0.8896,0.8896,0.8898,0.8895,0.8895,0.889,0.8887
5,0.0974,0.375,0.7332,0.8447,0.877,0.8916,0.8946,0.8939,0.8937,0.8937,0.8938,0.8937,0.8936
6,0.0974,0.4586,0.7866,0.8671,0.8895,0.8929,0.8962,0.8959,0.8967,0.8967,0.8965,0.897,0.8963
7,0.0974,0.4004,0.8081,0.867,0.8891,0.8948,0.8951,0.8941,0.895,0.8952,0.8953,0.8956,0.8946
8,0.0974,0.4018,0.7474,0.8488,0.8832,0.8944,0.8968,0.8975,0.8978,0.8978,0.8977,0.8975,0.8976
9,0.0974,0.4483,0.7834,0.8566,0.8855,0.8961,0.8993,0.8988,0.8988,0.8985,0.8985,0.8984,0.8984
10,0.0974,0.3819,0.7796,0.8606,0.8874,0.8985,0.9018,0.903,0.9031,0.9038,0.9034,0.9033,0.9033
11,0.0974,0.5057,0.8811,0.8976,0.9025,0.9031,0.9015,0.9004,0.8998,0.9002,0.9002,0.8999,0.9001
