,0,1,2,3,4,5
0,0.7384,0.7384,0.7384,0.7384,0.7384,0.7384
1,0.8152,0.8152,0.8152,0.8152,0.8152,0.8152
2,0.8417,0.8417,0.8417,0.8417,0.8417,0.8417
3,0.8353,0.8353,0.8353,0.8353,0.8353,0.8353
4,0.8491,0.8491,0.8491,0.8491,0.8491,0.8491
5,0.8564,0.8564,0.8564,0.8564,0.8564,0.8564
6,0.8595,0.8595,0.8595,0.8595,0.8595,0.8595
7,0.8545,0.8545,0.8545,0.8545,0.8545,0.8545
8,0.8572,0.8572,0.8572,0.8572,0.8572,0.8572
9,0.8594,0.8594,0.8594,0.8594,0.8594,0.8594
10,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553
11,0.8626,0.8626,0.8626,0.8626,0.8626,0.8626
