,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.101,0.7271,0.8035,0.8107,0.8135,0.8159,0.8168,0.8169,0.8172,0.8169,0.8168,0.8166,0.8163
1,0.0892,0.792,0.8485,0.8498,0.8508,0.853,0.8548,0.8529,0.8523,0.852,0.8522,0.8519,0.8509
2,0.1032,0.8524,0.864,0.8666,0.8675,0.8689,0.87,0.8696,0.8689,0.8689,0.8691,0.8687,0.8686
3,0.1135,0.8718,0.8801,0.8811,0.8814,0.88,0.8802,0.8787,0.879,0.8789,0.8784,0.878,0.8779
4,0.0974,0.8988,0.9604,0.9624,0.9631,0.9629,0.9612,0.9595,0.9592,0.959,0.959,0.9586,0.9586
5,0.1135,0.9566,0.9675,0.9684,0.9683,0.9682,0.9686,0.968,0.9678,0.9675,0.9673,0.9672,0.9668
6,0.1135,0.9633,0.9733,0.9737,0.9747,0.9744,0.9733,0.9731,0.9732,0.9728,0.9727,0.972,0.9718
7,0.1135,0.9633,0.9735,0.9747,0.9753,0.9766,0.9759,0.9749,0.9746,0.9745,0.9741,0.974,0.9736
8,0.1135,0.9638,0.9754,0.9763,0.9762,0.9771,0.9778,0.9769,0.9764,0.9765,0.9763,0.9759,0.976
9,0.1135,0.9751,0.9798,0.9798,0.9802,0.9806,0.9798,0.9786,0.9781,0.9779,0.9775,0.9772,0.977
10,0.1135,0.9762,0.9818,0.9824,0.9824,0.9823,0.9811,0.9798,0.98,0.9801,0.9801,0.9795,0.9793
11,0.1135,0.9537,0.9742,0.9752,0.9766,0.977,0.9775,0.978,0.978,0.9782,0.9783,0.9783,0.9782
