,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0892,0.5966,0.7977,0.813,0.8203,0.8232,0.8252,0.8253,0.8255,0.826,0.8259,0.8259,0.8266
1,0.098,0.8322,0.8545,0.856,0.857,0.8562,0.8584,0.8577,0.8581,0.8578,0.8581,0.8583,0.8579
2,0.098,0.8622,0.8706,0.8702,0.8703,0.8705,0.87,0.8692,0.8697,0.8697,0.8697,0.8701,0.8703
3,1.0,0.8934,0.8877,0.8867,0.8839,0.8839,0.8859,0.8848,0.8842,0.8841,0.8842,0.884,0.8847
4,0.101,0.8181,0.8726,0.8744,0.8766,0.878,0.8791,0.8793,0.8792,0.8786,0.879,0.8787,0.8787
5,0.1032,0.8809,0.8878,0.8879,0.8877,0.887,0.8884,0.8875,0.8877,0.8881,0.8882,0.8885,0.8881
6,1.0,0.903,0.8947,0.894,0.8922,0.8912,0.8931,0.8922,0.8917,0.892,0.892,0.8914,0.8912
7,1.0,0.8936,0.8888,0.8885,0.888,0.8879,0.8888,0.8897,0.8893,0.8891,0.889,0.8889,0.8889
8,1.0,0.9073,0.8949,0.892,0.8903,0.8905,0.8912,0.8909,0.8911,0.8909,0.8907,0.8905,0.8904
9,0.1032,0.9153,0.8981,0.897,0.8954,0.8948,0.8934,0.893,0.8935,0.8935,0.8939,0.8935,0.8933
10,0.1032,0.8931,0.8879,0.888,0.8871,0.8878,0.8882,0.8881,0.8882,0.8882,0.8883,0.8881,0.8885
11,1.0,0.912,0.8962,0.8949,0.8932,0.8918,0.8919,0.8913,0.8915,0.8915,0.8915,0.8916,0.8919
