,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0974,0.364,0.5462,0.6171,0.7233,0.7577,0.7667,0.7674,0.7665,0.7664,0.7661,0.7657,0.7659
1,0.0974,0.2776,0.5145,0.5929,0.7131,0.7665,0.7846,0.7851,0.7864,0.7863,0.7867,0.787,0.7868
2,0.0974,0.2827,0.5859,0.6517,0.7603,0.7852,0.7915,0.7912,0.7912,0.7908,0.7907,0.7906,0.7905
3,0.0974,0.3042,0.76,0.8418,0.8669,0.8731,0.8694,0.8649,0.8645,0.8637,0.8634,0.8629,0.8622
4,0.0974,0.237,0.6951,0.7688,0.8683,0.8832,0.8853,0.8858,0.8854,0.8848,0.8856,0.8845,0.8846
5,0.0974,0.265,0.726,0.8539,0.9278,0.9544,0.9608,0.9613,0.9612,0.9611,0.961,0.9608,0.9604
6,0.0974,0.3589,0.8351,0.9272,0.9575,0.9683,0.9713,0.9711,0.971,0.9705,0.9701,0.9698,0.9696
7,0.0974,0.3733,0.8869,0.9477,0.9678,0.9764,0.9773,0.9755,0.9749,0.9747,0.9747,0.974,0.9734
8,0.0974,0.4018,0.883,0.9451,0.9661,0.9718,0.9707,0.969,0.9675,0.9666,0.9657,0.9653,0.9652
9,0.0974,0.4134,0.8701,0.9386,0.9661,0.9778,0.9786,0.9783,0.9778,0.9776,0.9777,0.9777,0.9774
10,0.0974,0.3535,0.8029,0.9069,0.9616,0.9762,0.9794,0.9791,0.9788,0.9789,0.9788,0.9784,0.978
11,0.0974,0.365,0.8254,0.9214,0.9634,0.9775,0.9809,0.9805,0.9803,0.9799,0.9799,0.9802,0.9799
