,DTW,DDTW,TWE,WDTW,WDDTW,Euclidean,LCSS,MSM,ERP,ShifazDTW,ShapeDTW,Default
BirdChicken,77.5±3.35,95.5±2.69,69.5±8.79,64.5±4.72,71.0±5.83,67.0±8.12,43.0±7.81,83.5±9.23,65.5±5.22,76.0±3.0,39.5±4.15,79.5±5.68
Lightning2,86.72±3.77,74.59±1.51,81.15±4.99,77.21±3.91,67.7±1.95,72.95±3.04,52.79±3.8,77.54±3.44,72.95±2.57,85.08±3.23,58.03±3.13,80.0±3.34
GunPoint,89.07±2.88,99.13±0.6,96.33±1.8,96.93±1.27,96.87±1.74,91.33±1.33,48.0±1.84,97.07±0.95,92.0±0.94,89.87±1.48,66.87±1.03,98.2±1.74
GunPointMaleVersusFemale,97.12±0.46,96.52±0.78,97.91±0.6,99.37±0.76,99.18±0.25,99.49±0.38,49.81±2.07,99.43±0.28,99.4±0.39,97.44±0.74,80.76±1.7,99.68±0.2
SonyAIBORobotSurface2,79.7±1.22,86.8±1.58,85.86±1.5,86.34±1.05,85.51±0.94,85.11±1.09,54.95±1.55,85.48±1.88,85.6±1.44,79.71±1.23,65.8±2.14,86.59±1.77
PowerCons,94.22±1.63,80.28±1.81,94.56±1.61,99.44±0.25,85.06±2.3,99.28±0.61,47.5±3.23,99.33±0.33,99.28±0.93,92.72±1.5,72.22±2.48,98.56±0.87
MiddlePhalanxOutlineCorrect,75.4±1.71,78.45±1.63,78.01±1.42,79.24±1.56,80.27±1.07,78.83±1.66,54.85±1.91,77.66±1.09,78.63±1.12,73.23±1.92,56.08±1.4,80.14±1.45
Chinatown,95.42±2.05,92.8±1.15,95.69±1.49,96.15±1.27,93.41±1.22,94.52±1.11,49.85±4.7,95.54±0.98,91.43±2.3,95.07±1.41,59.65±1.99,96.01±0.92
TwoLeadECG,92.46±2.53,98.39±1.33,85.81±3.74,84.84±1.84,97.83±1.05,74.32±1.5,49.82±1.32,87.14±3.04,75.01±2.29,92.1±1.95,58.99±1.9,95.15±2.58
ItalyPowerDemand,94.23±0.47,92.08±0.56,95.64±0.62,96.18±0.3,95.85±0.49,96.24±0.47,49.39±1.84,95.45±0.71,96.05±0.51,93.97±0.56,52.39±1.29,96.41±0.46
ToeSegmentation2,81.08±2.34,74.92±2.1,74.62±4.35,83.23±3.96,65.0±4.54,78.0±2.94,46.92±4.23,89.15±4.09,79.23±2.88,79.08±1.81,52.23±4.18,80.62±3.52
BeetleFly,70.5±7.57,81.5±5.02,77.5±8.44,73.0±8.12,75.0±6.32,68.5±4.5,50.5±14.91,80.0±7.42,72.0±7.14,72.0±3.32,73.0±4.58,82.5±8.14
Herring,55.78±3.28,59.38±4.25,58.44±3.97,60.94±4.19,52.81±4.52,51.56±5.97,55.78±5.09,61.09±5.7,52.97±4.28,53.91±4.6,55.62±3.58,57.66±2.92
ECGFiveDays,72.45±2.07,63.11±1.59,74.19±2.78,78.16±1.92,63.23±2.09,83.5±2.76,49.36±1.42,82.82±2.8,84.8±3.09,71.94±2.73,54.03±1.05,73.24±3.0
DistalPhalanxOutlineCorrect,76.59±2.12,75.76±0.95,75.91±1.76,76.34±1.23,76.05±1.48,73.84±1.45,56.01±2.81,74.64±1.75,74.42±1.42,76.2±1.16,63.95±1.44,76.99±1.24
ToeSegmentation1,76.58±2.02,79.08±2.39,84.69±2.42,67.85±2.78,61.62±2.93,63.73±2.4,50.35±2.94,90.09±2.09,64.25±2.26,78.29±1.83,52.59±2.8,78.82±4.52
ECG200,80.2±2.09,84.8±1.17,87.5±1.91,88.2±1.78,87.2±2.48,90.4±1.43,62.6±2.65,88.6±2.15,88.3±2.15,78.6±2.33,57.5±3.07,88.6±2.54
Ham,58.86±3.97,55.52±4.0,65.52±4.21,63.05±3.04,60.67±3.64,65.9±3.09,48.0±3.91,68.38±4.62,64.0±4.21,59.33±3.19,51.9±2.49,64.67±5.31
GunPointOldVersusYoung,100.0±0.0,99.78±0.25,100.0±0.0,100.0±0.0,99.46±0.38,100.0±0.0,48.92±2.26,100.0±0.0,100.0±0.0,100.0±0.0,77.21±1.59,100.0±0.0
ShapeletSim,65.44±2.29,60.22±2.64,68.39±3.08,61.78±1.97,56.33±2.87,53.5±2.57,50.56±2.69,70.0±3.42,50.94±2.37,66.72±3.36,99.5±0.3,62.0±2.42
Strawberry,93.49±0.48,95.54±0.74,94.89±0.86,94.16±0.78,96.24±0.7,94.49±0.4,57.86±1.82,94.59±0.72,94.3±0.95,93.59±0.48,68.59±1.65,94.95±0.71
Wine,57.59±5.7,47.78±3.29,58.33±2.9,55.74±4.57,47.41±1.89,59.63±3.39,50.0±10.24,63.15±6.54,60.19±2.78,53.52±4.79,56.11±4.61,54.63±5.63
ProximalPhalanxOutlineCorrect,83.06±1.08,84.74±1.06,83.75±1.6,83.64±1.25,86.39±0.97,84.23±1.67,62.75±1.64,82.47±1.74,83.57±1.52,81.34±1.54,69.76±1.25,85.36±1.02
PhalangesOutlinesCorrect,76.33±0.37,77.46±0.97,78.34±0.88,77.65±1.0,80.05±1.08,78.46±0.84,56.53±0.84,77.81±1.27,78.07±0.94,76.75±1.43,59.6±0.81,79.76±1.29
GunPointAgeSpan,98.83±0.62,99.37±0.32,98.1±0.75,99.3±0.51,96.58±0.88,96.2±0.76,50.6±2.2,99.37±0.45,96.14±0.69,98.96±0.53,75.66±1.9,99.62±0.44
MoteStrain,85.1±1.3,72.13±2.02,81.21±1.36,85.18±1.85,80.69±1.96,84.34±1.1,50.45±1.28,88.78±1.88,84.97±1.77,85.76±0.96,52.34±1.16,87.32±1.35
SonyAIBORobotSurface1,73.93±1.28,82.75±2.22,71.85±3.23,75.37±1.49,80.93±2.46,70.98±3.72,44.08±0.94,76.01±3.78,72.95±2.87,74.04±1.76,54.41±1.68,77.54±3.21
Coffee,99.64±1.07,96.07±2.97,98.57±1.75,97.5±1.64,98.93±1.64,99.29±1.43,51.43±9.74,97.14±2.14,98.57±2.37,97.86±2.86,74.29±3.5,97.5±3.21
